action,video_filename,frame_idx,timestamp_sec,width,height,fps,total_frames,duration_sec,luminance_mean,luminance_std,motion_mad
caminar-adelante,10caminar.mp4,0,0.0,1920,1080,30.0,84,2.8,46.27801745756173,74.15421733052062,
caminar-adelante,10caminar.mp4,1,0.03333333333333333,1920,1080,30.0,84,2.8,46.277485532407404,74.17134273937832,0.20740885416666666
caminar-adelante,10caminar.mp4,2,0.06666666666666667,1920,1080,30.0,84,2.8,46.26898533950617,74.16977028912838,0.2217139274691358
caminar-adelante,10caminar.mp4,3,0.1,1920,1080,30.0,84,2.8,46.25949652777778,74.16924177864882,0.21709587191358024
caminar-adelante,10caminar.mp4,4,0.13333333333333333,1920,1080,30.0,84,2.8,46.23955005787037,74.15694462997972,0.21626880787037037
caminar-adelante,10caminar.mp4,5,0.16666666666666666,1920,1080,30.0,84,2.8,46.23428578317901,74.16735273771138,0.24956886574074075
caminar-adelante,10caminar.mp4,6,0.2,1920,1080,30.0,84,2.8,46.211871624228394,74.15184360154649,0.2529021990740741
caminar-adelante,10caminar.mp4,7,0.23333333333333334,1920,1080,30.0,84,2.8,46.1896768904321,74.14157485398101,0.2670510223765432
caminar-adelante,10caminar.mp4,8,0.26666666666666666,1920,1080,30.0,84,2.8,46.14955536265432,74.11210335635724,0.26839795524691357
caminar-adelante,10caminar.mp4,9,0.3,1920,1080,30.0,84,2.8,46.125160108024694,74.1100695508278,0.2843971836419753
caminar-adelante,10caminar.mp4,10,0.3333333333333333,1920,1080,30.0,84,2.8,46.092573302469134,74.0918724170883,0.2544849537037037
caminar-adelante,10caminar.mp4,11,0.36666666666666664,1920,1080,30.0,84,2.8,46.06319444444444,74.07894591003037,0.22509452160493826
caminar-adelante,10caminar.mp4,12,0.4,1920,1080,30.0,84,2.8,46.04315393518519,74.07367199822858,0.2080584490740741
caminar-adelante,10caminar.mp4,13,0.43333333333333335,1920,1080,30.0,84,2.8,46.04087625385802,74.09032644643796,0.22409770447530863
caminar-adelante,10caminar.mp4,14,0.4666666666666667,1920,1080,30.0,84,2.8,46.02705680941358,74.10315175619347,0.21071373456790124
caminar-adelante,10caminar.mp4,15,0.5,1920,1080,30.0,84,2.8,46.00728539737654,74.11215808328427,0.2001957947530864
caminar-adelante,10caminar.mp4,16,0.5333333333333333,1920,1080,30.0,84,2.8,45.990482735339505,74.11988201100446,0.18840374228395063
caminar-adelante,10caminar.mp4,17,0.5666666666666667,1920,1080,30.0,84,2.8,45.995127314814816,74.15613026868843,0.22161217206790124
caminar-adelante,10caminar.mp4,18,0.6,1920,1080,30.0,84,2.8,45.9805078125,74.16235762797498,0.1918504050925926
caminar-adelante,10caminar.mp4,19,0.6333333333333333,1920,1080,30.0,84,2.8,45.97614824459877,74.18132706396587,0.2223360339506173
caminar-adelante,10caminar.mp4,20,0.6666666666666666,1920,1080,30.0,84,2.8,45.968350694444446,74.19396339164847,0.24942081404320987
caminar-adelante,10caminar.mp4,21,0.7,1920,1080,30.0,84,2.8,45.967883391203706,74.2056771499454,0.27587432484567903
caminar-adelante,10caminar.mp4,22,0.7333333333333333,1920,1080,30.0,84,2.8,45.958825231481484,74.20573033137966,0.26077787422839505
caminar-adelante,10caminar.mp4,23,0.7666666666666667,1920,1080,30.0,84,2.8,45.95484809027778,74.21198617185266,0.29899546682098765
caminar-adelante,10caminar.mp4,24,0.8,1920,1080,30.0,84,2.8,45.95914592978395,74.22814647161042,0.4698225308641975
caminar-adelante,10caminar.mp4,25,0.8333333333333334,1920,1080,30.0,84,2.8,45.940433063271605,74.22619755164638,0.32895109953703705
caminar-adelante,10caminar.mp4,26,0.8666666666666667,1920,1080,30.0,84,2.8,45.884140625,74.18206214810316,0.3448630401234568
caminar-adelante,10caminar.mp4,27,0.9,1920,1080,30.0,84,2.8,45.82416377314815,74.13560500866609,0.34327449845679014
caminar-adelante,10caminar.mp4,28,0.9333333333333333,1920,1080,30.0,84,2.8,45.7494888117284,74.07252219479818,0.34760609567901235
caminar-adelante,10caminar.mp4,29,0.9666666666666667,1920,1080,30.0,84,2.8,45.679996624228394,74.01805893662797,0.3291874035493827
caminar-adelante,10caminar.mp4,30,1.0,1920,1080,30.0,84,2.8,45.62433690200617,73.97580917954488,0.31177083333333333
